Date : 2020-08-30 21:32:59
Directory : f:\Projects\in_search_of_the_lost_chord
Total : 65 files,  2396 codes, 113 comments, 328 blanks, all 2837 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                            |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                          |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                    |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                      |         45 |      2,004 |         40 |        269 |      2,313 |
| lib\bloc                                                                                                 |          7 |        171 |          0 |         58 |        229 |
| lib\dataManagement                                                                                       |          3 |         54 |         11 |         14 |         79 |
| lib\models                                                                                               |         10 |        246 |          0 |         45 |        291 |
| lib\models\misc                                                                                          |          6 |        100 |          0 |         19 |        119 |
| lib\services                                                                                             |          1 |        115 |          0 |         14 |        129 |
| lib\utils                                                                                                |          2 |         91 |          0 |          6 |         97 |
| lib\widgets                                                                                              |         21 |      1,314 |         29 |        130 |      1,473 |
| lib\widgets\lesser                                                                                       |          4 |        441 |          4 |         47 |        492 |
| lib\widgets\lesser\modifiers                                                                             |          1 |         38 |          0 |          5 |         43 |
| lib\widgets\mainPageRelated                                                                              |          3 |         95 |          0 |         19 |        114 |
| lib\widgets\releaseListRelated                                                                           |          5 |        255 |          2 |         25 |        282 |
| lib\widgets\statisticsRelated                                                                            |          2 |        126 |          0 |          8 |        134 |
| lib\widgets\trackListRelated                                                                             |          7 |        397 |         23 |         31 |        451 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                 | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| f:\Projects\in_search_of_the_lost_chord\README.md                                                        | Markdown   |         10 |          0 |          7 |         17 |
| f:\Projects\in_search_of_the_lost_chord\android\app\build.gradle                                         | Groovy     |         53 |          3 |         12 |         68 |
| f:\Projects\in_search_of_the_lost_chord\android\app\src\debug\AndroidManifest.xml                        | XML        |          4 |          3 |          1 |          8 |
| f:\Projects\in_search_of_the_lost_chord\android\app\src\main\AndroidManifest.xml                         | XML        |         23 |          7 |          1 |         31 |
| f:\Projects\in_search_of_the_lost_chord\android\app\src\main\res\drawable\launch_background.xml          | XML        |          4 |          7 |          2 |         13 |
| f:\Projects\in_search_of_the_lost_chord\android\app\src\main\res\values\styles.xml                       | XML        |          6 |          2 |          1 |          9 |
| f:\Projects\in_search_of_the_lost_chord\android\app\src\profile\AndroidManifest.xml                      | XML        |          4 |          3 |          1 |          8 |
| f:\Projects\in_search_of_the_lost_chord\android\build.gradle                                             | Groovy     |         27 |          0 |          5 |         32 |
| f:\Projects\in_search_of_the_lost_chord\android\gradle.properties                                        | Properties |          4 |          0 |          1 |          5 |
| f:\Projects\in_search_of_the_lost_chord\android\gradle\wrapper\gradle-wrapper.properties                 | Properties |          5 |          1 |          1 |          7 |
| f:\Projects\in_search_of_the_lost_chord\android\settings.gradle                                          | Groovy     |         12 |          0 |          4 |         16 |
| f:\Projects\in_search_of_the_lost_chord\android\settings_aar.gradle                                      | Groovy     |          1 |          0 |          1 |          2 |
| f:\Projects\in_search_of_the_lost_chord\ios\Runner\AppDelegate.swift                                     | Swift      |         12 |          0 |          2 |         14 |
| f:\Projects\in_search_of_the_lost_chord\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON       |        122 |          0 |          1 |        123 |
| f:\Projects\in_search_of_the_lost_chord\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json    | JSON       |         23 |          0 |          1 |         24 |
| f:\Projects\in_search_of_the_lost_chord\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md        | Markdown   |          3 |          0 |          2 |          5 |
| f:\Projects\in_search_of_the_lost_chord\ios\Runner\Base.lproj\LaunchScreen.storyboard                    | XML        |         36 |          1 |          1 |         38 |
| f:\Projects\in_search_of_the_lost_chord\ios\Runner\Base.lproj\Main.storyboard                            | XML        |         25 |          1 |          1 |         27 |
| f:\Projects\in_search_of_the_lost_chord\ios\Runner\Runner-Bridging-Header.h                              | C++        |          1 |          0 |          0 |          1 |
| f:\Projects\in_search_of_the_lost_chord\lib\bloc\addingTrackBloc.dart                                    | Dart       |         28 |          0 |          9 |         37 |
| f:\Projects\in_search_of_the_lost_chord\lib\bloc\bloc.dart                                               | Dart       |          3 |          0 |          0 |          3 |
| f:\Projects\in_search_of_the_lost_chord\lib\bloc\blocProvider.dart                                       | Dart       |         29 |          0 |          7 |         36 |
| f:\Projects\in_search_of_the_lost_chord\lib\bloc\historyBloc.dart                                        | Dart       |         24 |          0 |         10 |         34 |
| f:\Projects\in_search_of_the_lost_chord\lib\bloc\searchBloc.dart                                         | Dart       |         26 |          0 |          8 |         34 |
| f:\Projects\in_search_of_the_lost_chord\lib\bloc\trackBloc.dart                                          | Dart       |         30 |          0 |         12 |         42 |
| f:\Projects\in_search_of_the_lost_chord\lib\bloc\trackListBloc.dart                                      | Dart       |         31 |          0 |         12 |         43 |
| f:\Projects\in_search_of_the_lost_chord\lib\dataManagement\IDataManager.dart                             | Dart       |          4 |          0 |          1 |          5 |
| f:\Projects\in_search_of_the_lost_chord\lib\dataManagement\JsonToFile.dart                               | Dart       |         22 |         11 |          6 |         39 |
| f:\Projects\in_search_of_the_lost_chord\lib\dataManagement\database.dart                                 | Dart       |         28 |          0 |          7 |         35 |
| f:\Projects\in_search_of_the_lost_chord\lib\main.dart                                                    | Dart       |         13 |          0 |          2 |         15 |
| f:\Projects\in_search_of_the_lost_chord\lib\models\iNamed.dart                                           | Dart       |          4 |          0 |          0 |          4 |
| f:\Projects\in_search_of_the_lost_chord\lib\models\misc\cores.dart                                       | Dart       |         15 |          0 |          4 |         19 |
| f:\Projects\in_search_of_the_lost_chord\lib\models\misc\modifier.dart                                    | Dart       |         16 |          0 |          6 |         22 |
| f:\Projects\in_search_of_the_lost_chord\lib\models\misc\possibleMainTabViews.dart                        | Dart       |          4 |          0 |          0 |          4 |
| f:\Projects\in_search_of_the_lost_chord\lib\models\misc\ratingAnimatedListCore.dart                      | Dart       |         49 |          0 |          9 |         58 |
| f:\Projects\in_search_of_the_lost_chord\lib\models\misc\ratingGrades.dart                                | Dart       |         11 |          0 |          0 |         11 |
| f:\Projects\in_search_of_the_lost_chord\lib\models\misc\releaseTypes.dart                                | Dart       |          5 |          0 |          0 |          5 |
| f:\Projects\in_search_of_the_lost_chord\lib\models\release.dart                                          | Dart       |         65 |          0 |         12 |         77 |
| f:\Projects\in_search_of_the_lost_chord\lib\models\track.dart                                            | Dart       |         55 |          0 |          9 |         64 |
| f:\Projects\in_search_of_the_lost_chord\lib\models\tracksHistory.dart                                    | Dart       |         22 |          0 |          5 |         27 |
| f:\Projects\in_search_of_the_lost_chord\lib\services\statisticsService.dart                              | Dart       |        115 |          0 |         14 |        129 |
| f:\Projects\in_search_of_the_lost_chord\lib\utils\ratingUtils.dart                                       | Dart       |         86 |          0 |          5 |         91 |
| f:\Projects\in_search_of_the_lost_chord\lib\utils\stringUtils.dart                                       | Dart       |          5 |          0 |          1 |          6 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\lesser\dialogs.dart                                  | Dart       |        277 |          4 |         27 |        308 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\lesser\jumpingDotsProgressIndicator.dart             | Dart       |        111 |          0 |         13 |        124 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\lesser\modifiers\toReconsider.dart                   | Dart       |         38 |          0 |          5 |         43 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\lesser\tabBarContainer.dart                          | Dart       |         15 |          0 |          2 |         17 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\mainPageRelated\mainPage.dart                        | Dart       |         17 |          0 |          3 |         20 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\mainPageRelated\stackAnimationProvider.dart          | Dart       |         32 |          0 |          9 |         41 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\mainPageRelated\stackOfStatisticsAndReleaseList.dart | Dart       |         46 |          0 |          7 |         53 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\releaseListRelated\releaseList.dart                  | Dart       |         54 |          0 |          4 |         58 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\releaseListRelated\releaseTile.dart                  | Dart       |         46 |          1 |          4 |         51 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\releaseListRelated\releaseWithStackAnimation.dart    | Dart       |         36 |          0 |          5 |         41 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\releaseListRelated\releases.dart                     | Dart       |         37 |          0 |          3 |         40 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\releaseListRelated\search.dart                       | Dart       |         82 |          1 |          9 |         92 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\statisticsRelated\statistics.dart                    | Dart       |         80 |          0 |          4 |         84 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\statisticsRelated\statisticsRow.dart                 | Dart       |         46 |          0 |          4 |         50 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\trackListRelated\history.dart                        | Dart       |         65 |          0 |          2 |         67 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\trackListRelated\rateTile.dart                       | Dart       |         58 |          0 |          5 |         63 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\trackListRelated\rateTrack.dart                      | Dart       |         47 |         22 |          4 |         73 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\trackListRelated\scrollControllerProvider.dart       | Dart       |         16 |          0 |          4 |         20 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\trackListRelated\trackList.dart                      | Dart       |         88 |          0 |          4 |         92 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\trackListRelated\trackTile.dart                      | Dart       |         82 |          0 |          7 |         89 |
| f:\Projects\in_search_of_the_lost_chord\lib\widgets\trackListRelated\tracksView.dart                     | Dart       |         41 |          1 |          5 |         47 |
| f:\Projects\in_search_of_the_lost_chord\pubspec.yaml                                                     | YAML       |         17 |         45 |         14 |         76 |
| Total                                                                                                    |            |      2,396 |        113 |        328 |      2,837 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
